"","file","locus_tag","ftype","length_bp","gene","gene2","gene3","product","product2","product3"
"16","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00110","CDS",993,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"17","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00131","CDS",981,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"18","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00134","CDS",927,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"19","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00184","CDS",1098,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"20","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00196","CDS",414,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"21","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00203","CDS",1101,"","","","IS1595 family transposase ISCco3","IS1595 family transposase ISCco3","IS1595 family transposase ISCco3"
"22","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00204","CDS",1041,"","","","IS1595 family transposase ISCco3","IS1595 family transposase ISCco3","IS1595 family transposase ISCco3"
"23","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00205","CDS",933,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"24","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00214","CDS",1011,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"25","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00226","CDS",402,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"26","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00227","CDS",321,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"27","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00228","CDS",333,"higB1","higB1","higB1","putative endoribonuclease HigB1","putative endoribonuclease HigB1","putative endoribonuclease HigB1"
"28","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00229","CDS",1053,"lexA_1","lexA_1","lexA_1","LexA repressor","LexA repressor","LexA repressor"
"29","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00230","CDS",696,"lexA_2","lexA_2","lexA_2","LexA repressor","LexA repressor","LexA repressor"
"30","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00231","CDS",990,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"31","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00240","CDS",1545,"murJ_1","murJ","murJ_1","lipid II flippase MurJ","lipid II flippase MurJ","lipid II flippase MurJ"
"32","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00241","CDS",1284,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"33","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00242","CDS",1053,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"34","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00243","CDS",1056,"pglH_1","pglH_1","pglH_1","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase"
"35","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00244","CDS",1062,"pglH_2","pglH_2","pglH_2","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase"
"36","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00245","CDS",909,"pglI","pglI","pglI","GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase","GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase","GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase"
"37","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00246","CDS",1041,"pglH_3","pglH_3","pglH_3","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)- diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase"
"38","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00247","CDS",1032,"arnC","arnC","arnC","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase"
"39","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00248","CDS",1119,"pglJ","pglJ","pglJ","N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase","N-acetylgalactosamine-N, N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase","N-acetylgalactosamine-N, N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase"
"40","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00268","CDS",735,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"41","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00282","CDS",249,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"42","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00283","CDS",342,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"43","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00284","CDS",975,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"44","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00286","CDS",1455,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"45","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00287","CDS",912,"","","","hypothetical protein","transcriptional regulator","YafY family transcriptional regulator"
"46","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00288","CDS",465,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"47","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00289","CDS",2208,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"48","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00290","CDS",1758,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"49","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00291","CDS",2046,"mpa","mpa","mpa","Proteasome-associated ATPase","Proteasome-associated ATPase","Proteasome-associated ATPase"
"50","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00292","CDS",288,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"51","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00293","CDS",249,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"52","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00300","CDS",357,"ychN","ychN","ychN","Protein YchN","Protein YchN","Protein YchN"
"53","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00301","CDS",243,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"54","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00319","CDS",645,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"55","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00322","CDS",252,"yafN","yafN","yafN","Antitoxin YafN","Antitoxin YafN","Antitoxin YafN"
"56","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00323","CDS",336,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"57","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00324","CDS",1566,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"58","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00325","CDS",762,"artQ","","","Arginine transport system permease protein ArtQ","amino acid ABC transporter permease","amino acid ABC transporter permease"
"59","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00360","CDS",786,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"60","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00361","CDS",243,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"61","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00367","CDS",672,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"62","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00375","CDS",1110,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"63","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00405","CDS",1023,"","","","ATP/GTP phosphatase","ATP/GTP phosphatase","ATP/GTP phosphatase"
"64","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00406","CDS",564,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"65","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00429","CDS",90,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"66","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00430","CDS",225,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"67","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00448","CDS",483,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"68","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00449","CDS",2580,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"69","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00450","CDS",1356,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"70","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00462","CDS",675,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"71","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00464","CDS",480,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"72","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00466","CDS",6240,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"73","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00473","CDS",717,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"74","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00474","CDS",429,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"75","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00475","CDS",1995,"hxuC","hxuC","hxuC","Heme/hemopexin utilization protein C","Heme/hemopexin utilization protein C","Heme/hemopexin utilization protein C"
"76","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00476","CDS",417,"tolQ_2","exbB2","exbB","Tol-Pal system protein TolQ","ExbB/TolQ family transport protein","TonB-system energizer ExbB"
"77","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00477","CDS",387,"tolR","exbD2","exbD","Tol-Pal system protein TolR","ExbD/TolR family transport protein","TonB system transport protein ExbD"
"78","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00478","CDS",726,"","tonB2","","hypothetical protein","TonB transport protein","energy transducer TonB"
"79","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00499","CDS",1062,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"80","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00506","CDS",897,"cas1","","cas1","CRISPR-associated endonuclease Cas1","CRISPR-associated endonuclease Cas1","type II CRISPR-associated endonuclease Cas1"
"81","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00507","CDS",312,"cas2","","cas2","CRISPR-associated endoribonuclease Cas2","CRISPR-associated endoribonuclease Cas2","CRISPR-associated endonuclease Cas2"
"82","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00532","CDS",1011,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"83","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00553","CDS",642,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"84","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00569","CDS",666,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"85","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00599","CDS",123,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"86","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00628","CDS",903,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"87","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00646","CDS",2487,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"88","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00659","CDS",1545,"opgE","opgE","opgE","Phosphoethanolamine transferase OpgE","Phosphoethanolamine transferase OpgE","Phosphoethanolamine transferase OpgE"
"89","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00669","CDS",594,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"90","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00672","CDS",384,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"91","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00716","CDS",1989,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"92","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00735","CDS",2838,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"93","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00736","CDS",1749,"","","","hypothetical protein","hypothetical protein","site-specific DNA-methyltransferase"
"94","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00737","CDS",150,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"95","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00740","CDS",303,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"96","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00753","CDS",1107,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"97","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00754","CDS",564,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"98","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00769","CDS",1533,"btuB","btuB","btuB","Vitamin B12 transporter BtuB","Vitamin B12 transporter BtuB","Vitamin B12 transporter BtuB"
"99","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00776","CDS",1497,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"100","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00777","CDS",1212,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"101","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00790","CDS",2304,"hypF","hypF","hypF","Carbamoyltransferase HypF","carbamoyltransferase","carbamoyltransferase HypF"
"102","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00815","CDS",1344,"dcuA","dcuA","","Anaerobic C4-dicarboxylate transporter DcuA","anaerobic C4-dicarboxylate transporter","anaerobic C4-dicarboxylate transporter"
"103","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00828","CDS",1734,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"104","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00840","CDS",1032,"","ftsK","","hypothetical protein","DNA translocase FtsK","DNA translocase FtsK"
"105","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00841","CDS",495,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"106","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00842","CDS",2043,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"107","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00843","CDS",1746,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"108","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00853","CDS",186,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"109","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00863","CDS",645,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"110","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00934","CDS",234,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"111","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00960","CDS",258,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"112","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00961","CDS",285,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"113","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00963","CDS",297,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"114","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00964","CDS",339,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"115","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00965","CDS",5202,"rep","rep_2","rep","ATP-dependent DNA helicase Rep","ATP-dependent DNA helicase Rep","ATP-dependent DNA helicase Rep"
"116","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00981","CDS",687,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"117","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00997","CDS",153,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"118","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01016","CDS",468,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"119","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01020","CDS",2919,"recD2_2","recD2","recD2","ATP-dependent RecD-like DNA helicase","ATP-dependent RecD-like DNA helicase","ATP-dependent RecD-like DNA helicase"
"120","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01021","CDS",1047,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"121","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01022","CDS",762,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"122","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01023","CDS",2742,"ftsH_2","ftsH_2","ftsH_2","ATP-dependent zinc metalloprotease FtsH","ATP-dependent zinc metalloprotease FtsH","ATP-dependent zinc metalloprotease FtsH"
"123","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01024","CDS",633,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"124","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01066","CDS",1050,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"125","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01075","CDS",1113,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"126","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01076","CDS",597,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"127","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01077","CDS",261,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"128","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01102","CDS",1224,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"129","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01120","CDS",681,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"130","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01127","CDS",708,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"131","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01150","CDS",267,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"132","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01189","CDS",798,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"133","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01228","CDS",591,"","","","hypothetical protein","outer membrane protein","outer membrane beta-barrel protein"
"134","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01278","CDS",642,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"135","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01280","CDS",747,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"136","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01281","CDS",1077,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"137","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01282","CDS",1803,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"138","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01294","CDS",441,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"139","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01332","CDS",618,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"140","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01333","CDS",777,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"141","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01334","CDS",336,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"142","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01335","CDS",225,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"143","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01336","CDS",1227,"intA","intA","intA","Prophage integrase IntA","Prophage integrase IntA","Prophage integrase IntA"
"144","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01401","CDS",600,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"145","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01420","CDS",543,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"146","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01434","CDS",849,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"147","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01443","CDS",579,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"148","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01460","CDS",1278,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"149","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01466","CDS",1755,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"150","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01471","CDS",516,"","","","hypothetical protein","hypothetical protein","purine-nucleoside phosphorylase"
"151","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01543","CDS",444,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"152","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_01565","CDS",291,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"153","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00025","CDS",462,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"154","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00034","CDS",306,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"155","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00035","CDS",939,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"156","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00076","CDS",930,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"157","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00080","CDS",969,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"158","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00081","CDS",117,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"159","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00101","CDS",1020,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"160","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00117","CDS",492,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"161","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00124","CDS",912,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"162","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00134","CDS",2076,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"163","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00135","CDS",723,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"164","JMF18_spades_pomoxis_polished_min2000.tsv","KHAFFMAE_00136","CDS",1077,"","","","putative protein","putative protein","putative protein"
