-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage             # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
  bin.40          k__Bacteria (UID203)             5449        104            58         88    16   0    0    0    0       24.29            0.00               0.00          
  bin.12          k__Bacteria (UID203)             5449        103            57         81    22   0    0    0    0       23.24            0.00               0.00          
  bin.4           k__Bacteria (UID203)             5449        103            57         80    23   0    0    0    0       22.89            0.00               0.00          
  bin.5        o__Clostridiales (UID1120)          304         247           141        185    62   0    0    0    0       22.87            0.00               0.00          
  bin.60          k__Bacteria (UID203)             5449        104            58         88    15   1    0    0    0       22.41            1.72              100.00         
  bin.15         k__Bacteria (UID2569)             434         278           186        210    60   5    3    0    0       20.89            0.72               7.14          
  bin.62          k__Bacteria (UID203)             5449        104            58         84    19   1    0    0    0       17.16            1.72               0.00          
  bin.43          k__Bacteria (UID203)             5449        104            58         95    9    0    0    0    0       13.95            0.00               0.00          
  bin.16          k__Bacteria (UID203)             5449        104            58         91    12   1    0    0    0       13.04            0.34               0.00          
  bin.54          k__Bacteria (UID203)             5449        103            57         92    11   0    0    0    0       12.95            0.00               0.00          
  bin.57          k__Bacteria (UID203)             5449        100            55         82    18   0    0    0    0       12.93            0.00               0.00          
  bin.27          k__Bacteria (UID203)             5449        103            57         93    10   0    0    0    0       12.60            0.00               0.00          
  bin.66              root (UID1)                  5656         56            24         54    2    0    0    0    0        8.33            0.00               0.00          
  bin.56              root (UID1)                  5656         56            24         55    1    0    0    0    0        4.17            0.00               0.00          
  bin.20              root (UID1)                  5656         56            24         55    1    0    0    0    0        4.17            0.00               0.00          
  bin.7           k__Bacteria (UID203)             5449        104            58         98    3    1    0    1    1        2.51            1.25              11.76          
  bin.22           k__Archaea (UID2)               207         149           107        145    4    0    0    0    0        2.34            0.00               0.00          
  bin.25              root (UID1)                  5656         56            24         55    0    1    0    0    0        0.46            0.46               0.00          
  bin.59          k__Bacteria (UID203)             5449        104            58        103    1    0    0    0    0        0.16            0.00               0.00          
  bin.38              root (UID1)                  5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
  bin.26              root (UID1)                  5656         56            24         56    0    0    0    0    0        0.00            0.00               0.00          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
