"genome1","gene1","genome2","gene2","pident_nucl","palign_nucl"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00040","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01027","99.573","99.5217842534747"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00042","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01026","98.174","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00043","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01025","98.065","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00044","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01024","97.917","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00045","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01023","96.539","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00048","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01022","97.468","99.7030438010393"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00049","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01021","96.325","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00050","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01020","92.01","100.366522366522"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00051","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01019","95.869","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00052","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01018","97.489","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00053","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01017","97.592","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00054","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01016","96.602","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00055","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01015","96.812","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00056","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01014","96.133","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00057","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01013","95.221","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00058","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01012","98.504","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00059","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01011","95.197","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00060","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01010","96.946","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00061","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01009","97.759","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00062","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01008","97.158","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00064","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01006","96.686","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00065","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01005","96.138","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00066","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01004","95.734","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00067","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01003","85.047","101.490514905149"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00068","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01002","97.756","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00069","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01001","97.61","99.9004975124378"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00070","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01000","89.934","100.248138957816"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00075","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00997","97.02","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00076","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00996","94.419","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00077","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00995","96.234","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00078","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00994","95.522","100.124688279302"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00079","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00993","97.446","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00080","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00992","98.704","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00081","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00991","98.274","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00082","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00990","97.07","100.054288816504"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00083","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00989","99.027","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00084","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00988","96.695","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00085","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00987","97.609","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00086","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00986","96.649","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00087","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00985","97.586","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00088","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00984","97.664","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00089","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00983","97.988","100.100704934542"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00090","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00982","97.662","99.4832041343669"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00091","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00981","96.053","95.959595959596"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00092","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00980","97.693","100.07215007215"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00093","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00979","97.674","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00094","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00978","98.471","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00095","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00977","99.506","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00096","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00976","98.184","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00097","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00975","97.154","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00098","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00974","96.895","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00099","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00973","96.505","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00100","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00972","96.875","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00101","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00971","76.98","81.8080140547276"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00101","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00971","82.3495","43.0946957703033"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00101","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00971","82.3495","43.0071090773521"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00101","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00971","87.719","4.29379079292769"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00103","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00970","94.27","99.5186501300632"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00104","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00969","81.965","99.7613531450868"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00107","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00839","90.374","37.6639892904953"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00111","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00964","79.41","101.034063260341"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00112","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00963","97.222","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00113","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00962","97.242","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00114","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00961","98.472","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00115","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00960","96.489","100.100401606426"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00116","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00959","98.634","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00117","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00958","96.288","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00118","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00957","98.028","100.109649122807"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00119","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00956","96.982","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00120","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00955","97.248","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00121","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00954","97.46","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00122","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00953","98.214","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00123","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00952","98.503","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00124","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00951","99.598","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00125","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00950","97.792","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00126","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00949","96.018","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00127","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00948","99.531","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00128","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00947","98.556","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00129","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00946","94.169","100.237529691211"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00130","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00945","95.217","99.1885143570537"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00132","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00944","93.303","99.0018907895779"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00133","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00943","90.491","100.15873015873"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00134","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00942","83.962","57.8362873900712"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00135","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00941","94.162","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00136","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00940","97.333","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00137","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00939","98.065","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00138","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00938","97.009","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00139","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00937","99.129","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00140","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00936","99.429","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00141","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00935","99.353","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00142","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00934","99.612","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00143","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00933","94.852","100.191021967526"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00144","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00932","97.005","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00145","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00931","96.514","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00146","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00930","96.384","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00147","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00929","98.462","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00148","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00928","97.809","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00149","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00927","97.872","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00150","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00926","99.408","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00151","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00925","98.305","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00152","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00924","97.892","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00153","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00923","97.882","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00154","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00922","97.282","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00155","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00921","98.205","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00156","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00920","92.146","86.5671641791045"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00157","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00919","95.489","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00158","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00918","84.414","90.6896567909579"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00159","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00917","95.91","100.281609529907"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00160","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00916","94.839","100.649350649351"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00161","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00915","99.034","99.2857142857143"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00162","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00914","97.152","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00163","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00913","94.952","100.10752688172"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00164","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00912","96.784","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00165","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00911","96.612","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00166","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00910","100","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00167","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00909","97.022","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00168","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00908","98.374","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00169","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00907","96.48","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00170","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00906","97.351","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00171","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00905","99.145","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00172","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00904","97.998","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00173","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00903","98.136","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00174","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00902","97.556","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00175","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00901","98.676","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00176","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00900","96.184","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00177","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00899","98.192","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00178","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00898","98.413","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00179","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00897","97.952","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00180","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00896","99.145","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00181","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00895","95.829","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00182","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00894","98.361","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00183","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00893","95.238","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00185","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00891","91.638","100.4329004329"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00186","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00890","97.365","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00187","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00889","95.741","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00188","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00888","96.391","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00189","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00887","96.188","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00190","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00886","97.421","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00191","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00885","84.152","101.624396812928"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00192","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00884","91.276","100.161812297735"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00193","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00883","95.669","95.0265245351951"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00194","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00882","93.164","100.087719298246"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00195","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00881","96","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00197","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00879","97.253","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00198","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00878","98.45","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00199","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00877","93.446","100.077160493827"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00200","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_00876","96.279","100"
